ID,Section,Title,Description,Owner,Status,Due / Target Date,Awaiting BoD?,What HSM is waiting on BoD for,BoD Direction / Response,BoD Response Date,Notes / History,Last Updated,Updated By
1,Communication,Weekly reports — detailed topics / actions / timelines,"Reports must include specific details of topics reviewed, actions agreed to, and completion timelines.",HSM,In Progress,Ongoing,No,,,,BoD requested revised format. HSM to implement.,2025-03-24,
2,Communication,Board meeting minutes — 7-day delivery + Buildium posting,"Minutes sent within 7 days of meeting for BoD approval, then posted to Buildium.",HSM,In Progress,7 days post-meeting,No,,,,,2025-03-24,
3,Communication,Owner forum — in-person comment/question channel,"Owners need a monthly in-person forum to submit comments, questions, and concerns to BoD. Buildium platform adoption is low.",Joint,Not Started,,Yes,"BoD to decide: format (meeting slot vs. dedicated session), frequency, and Buildium adoption strategy.","Continue office hours. Inform residents of date/time in advance. Start weekly walkthrough with office hours — if no residents show, proceed directly to walkthrough + open items review. Done twice so far; residents attended once.",,Only ~9 residents using Buildium as of 3/13. Office hours done twice; attended once.,2025-03-28,
4,Communication,Resident roster — finalize and publish in shareable form,Roster for all residents and renters is nearly complete and believed to be accurate. Needs to be put in a shareable form accessible to all BoD members.,Joint,In Progress,,Yes,BoD to decide platform/format for shared roster access and who maintains it going forward.,,,Previously tracked as form completion drive. Roster now largely accurate per latest update. Separate item #14 tracks renter paperwork compliance.,2025-03-28,
5,Financial,2026 monthly budget vs. 2025 comparison,HSM to develop 2026 monthly budget with side-by-side 2025 comparison.,HSM,Not Started,,No,,,,,2025-03-24,
6,Financial,Building insurance — comprehensive review of alternatives,Rushed into approving renewal at higher rates. BoD agreed to revisit options this year and conduct a proper comparative review.,HSM,Not Started,,No,,,,Renewal was approved under time pressure. Full review committed for this year.,2025-03-28,
7,Staffing,Staff manual and staffing plan update,Mark and Robin working together on updated staffing plan and Staff Manual. House Rules must be updated before Staff Manual can be finalized.,Joint,In Progress,,No,,,,Dependency: House Rules update (item #11) must precede Staff Manual finalization.,2025-03-28,
8,Staffing,Digitized record-keeping + package receiving system,Transition building staff from paper to digital. Includes automated package receiving and electronic resident reminders. Also includes digital communications for all staff operations.,HSM,In Progress,,No,,,,HSM agreed to implement. BoD to request timeline and platform selection. Scope confirmed to include communications.,2025-03-28,
9,Staffing,USPS mail sort by unit — follow-through confirmation,Post office agreed to sort mail by unit to ease doorman distribution into cubbies. Status of follow-through is uncertain. HSM may need to re-contact USPS.,HSM,In Progress,,No,,,,Updated from 'overdue' — agreement was reached but execution unconfirmed. HSM to verify and re-contact if needed.,2025-03-28,
10,Staffing,HSM weekly building visits and Friday office hours,"HSM to provide weekly updates of building visits. Friday 30-minute resident office hours to continue: announce date/time to residents, begin with office hours, proceed to walkthrough if no residents appear.",HSM,In Progress,Weekly — Fridays,No,,,,Office hours done twice; residents attended once. Recommend continuing and improving resident notification.,2025-03-28,
11,Parking,Valet & white zone enforcement plan,Active BoD duty. All staff must enforce valet parking rules and white zone clearance consistently. Elevators: keep staff and residents out of white zone.,Joint,In Progress,Ongoing,Yes,BoD to confirm written enforcement protocols and communicate to all building staff.,,,,2025-03-28,
12,BoD Action Items,House Rules and CC&R changes/additions,BoD working on revisions and additions to House Rules and CC&Rs. Must be completed before Staff Manual (item #7) can be finalized.,BoD,In Progress,,No,,,,Internal BoD action. Blocking dependency for Staff Manual update.,2025-03-28,
13,BoD Action Items,Fee schedule — enforce / shorten / eliminate?,"Fee schedule exists on Buildium but has never been enforced. BoD must decide: keep, shorten, or eliminate.",BoD,Not Started,,Yes,BoD decision required: enforce current schedule / create shorter version / remove entirely.,,,,2025-03-24,
14,Compliance,Renter paperwork compliance — leases / House Rules / insurance,"12 renters in building. HSM has little to none of the required renter paperwork. Jessica and BoD member working with owners to collect: rental leases, signed House Rules & CC&R acknowledgment, and evidence of rental insurance.",Joint,In Progress,,No,,,,Jessica and BoD member actively reaching out to owners. 12 renters total. Track until all paperwork is on file.,2025-03-28,
15,Legal,Gerald Asher legal claim — status and response,Louis sent reply letter to Gerald's lawyer last Wednesday. Awaiting response. Gerald is reportedly hospitalized (age 94); prognosis uncertain. Niels (retired lawyer) is actively supporting Gerald and Dale's claims as a personal matter.,BoD,In Progress,,No,,,,Louis's reply letter sent ~3/19. Prescriptive easement defense noted as unlikely to succeed — board was permitting the activity so 'adverse use' standard not met. Monitor for response from Gerald's lawyer.,2025-03-28,
16,Legal,Dale Djerassi claim and vote request,Dale Djerassi has a pending claim and has requested a vote. Niels is supporting this claim as well as Gerald's.,BoD,In Progress,,Yes,BoD to determine process and timeline for addressing Dale's vote request.,,,Niels (retired lawyer) is actively involved. Coordinate with Gerald Asher matter (item #15).,2025-03-28,
17,Staffing,Union contract — proper contract and discipline process clarification,Need to obtain and review proper union contract. Discipline processes need to be clearly defined and understood by BoD and HSM.,Joint,Not Started,,Yes,BoD to confirm scope: is this an HSM-led review or does BoD need direct legal input?,,,,2025-03-28,
18,Communication,Communications portal — Buildium replacement evaluation,BoD owning project to evaluate and implement a better communications portal than Buildium. Includes staff digital record-keeping and automated package receiving with electronic resident reminders.,BoD,In Progress,,No,,,,BoD assigned as owner. Scope includes staff digital ops and package system. Related to item #8.,2025-03-28,
19,Building / Facilities,Everest weatherproofing and window project,"Mushrooming 12–14 week project across multiple floors. Mark managing. Bob Gilligan attending meetings with Everest. HSM asked to produce a simple weekly progress update: status in a few words, floors being worked on, and a simple photo or graphic showing progress.",Joint,In Progress,12–14 weeks,No,,,,Mark is the project lead. Bob Gilligan is assisting. Paul has created a web app to track progress at https://everest-progress.bellairetower.com/,2026-05-20,hoa@bellairetower.com
20,Building / Facilities,Exterior & lobby electrical work — Phase 1,Remove old conduits on Green St. facade. Replace old facade light fixtures with newer smaller modern fixtures. Replace vestibule and mail room lighting with recessed ceiling lights. Clean up electrical wire tangle in vestibule. Move all electrical to allow front desk relocation to console table position. Jessica to arrange Bernard for patching/painting and front desk move after electrical work.,HSM,Not Started,,No,,,,Jessica coordinating finish work with Bernard. Front desk relocation included in scope.,2025-03-28,
21,Building / Facilities,New light fixtures — Phase 2 electrical,Install new light fixtures once fixtures are ready. Sequenced after Phase 1 electrical work (item #20).,HSM,Not Started,,No,,,,Dependent on Phase 1 (item #20) completion and fixture procurement.,2025-03-28,
22,Building / Facilities,Elevators — North (#2) troubleshooting and maintenance contract,North elevator (#2) requires active troubleshooting. Maintenance contract term should be reviewed; obtain alternate bid if contract renewal is approaching.,HSM,In Progress,,Yes,BoD to confirm whether to authorize alternate maintenance bid now or wait for contract term date.,,,Stay out of white zone policy applies to elevator area. Contract timing TBD.,2025-03-28,
