ID,Section,Title,Description,Owner,Status,Due / Target Date,Awaiting BoD?,What HSM is waiting on BoD for,BoD Direction / Response,BoD Response Date,Notes / History,Last Updated,Updated By
1,Communication,Weekly reports — detailed topics / actions / timelines,"Reports must include specific details of topics reviewed, actions agreed to, and completion timelines.",HSM,In Progress,Ongoing,No,,,,BoD requested revised format. HSM to implement.,2025-03-24,
2,Communication,Board meeting minutes — 7-day delivery + Buildium posting,"Minutes sent within 7 days of meeting for BoD approval, then posted to Buildium.",HSM,In Progress,Ongoing,No,,,,,2026-06-12,paul@palindrome.com
3,Communication,Owner forum — in-person comment/question channel,"Owners need a monthly in-person forum to submit comments, questions, and concerns to BoD. Buildium platform adoption is low.",Joint,Complete,,No,"BoD to decide: format (meeting slot vs. dedicated session), frequency, and Buildium adoption strategy. This was implemented, and is happening every Friday.",,,Only ~9 residents using Buildium as of 3/13.,2026-06-12,paul@palindrome.com
4,Communication,Owner & tenant roster — form completion drive,Working since 2/15. Only 9 residents submitted forms as of 3/13.,HSM,Complete,Ongoing — stalled,Yes,BoD to consider issuing a deadline/reminder communication to all residents.,Updated roster updated and uploaded June 2026. Two new residents will arrive this summer requiring an additional update,,While all known information is in the roster. There are some missing details.,2026-06-27,paul@palindrome.com
5,Financial,2026 monthly budget vs. 2025 comparison,HSM to develop 2026 monthly budget with side-by-side 2025 comparison.,HSM,Not Started,,No,,,,,2025-03-24,
6,Financial,Building insurance — comprehensive review of alternatives,Review and compare current policy against available alternatives for better coverage and cost.,HSM,Not Started,,No,,,,,2025-03-24,
7,Staffing,Building staffing plan document,Mark and HSM working together with Robin on a building staffing plan.,Joint,In Progress,,No,,,,Active joint effort between BoD (Mark) and HSM.,2025-03-24,
8,Staffing,Digitized record-keeping transition,Transition building staff from paper to digital. Includes automated package receiving and electronic resident reminders.,HSM,In Progress,,No,,,,HSM agreed to implement. BoD to request timeline and platform selection.,2025-03-24,
9,Staffing,USPS mail distribution — post office contact,HSM agreed at Feb 10 meeting to contact USPS to have them distribute mail. As of March 24 not yet done.,HSM,Overdue,7/3/2026,No,,"BoD requested HSM to reach out to the post office about when they will sort mail in their sorting facility, as promised in March. New information is that this is not being done at the sorting facility; rather, it should be done by the postman. Changing routes, will inform new carrier by next week (7/3/2026).",,43 days since agreement. HSM must provide written update and resolution date.,2026-06-27,paul@palindrome.com
10,Parking,Valet & white zone enforcement plan,Active BoD duty. All staff must enforce valet parking rules and white zone clearance consistently.,Joint,In Progress,Ongoing,Yes,BoD to confirm enforcement protocols and communicate policy in writing to all building staff.,HOA House rules to be approved on June 29. Revised House Rules sent to residents by July 15. Enforcement action by end of July.,,,2026-06-26,
11,BoD Action Items,House Rules and CC&R changes/additions,BoD working on revisions and additions to House Rules and CC&Rs.,BoD,In Progress,,No,,,,Internal BoD action. HSM not yet involved.,2025-03-24,
12,BoD Action Items,Fee schedule — enforce / shorten / eliminate?,"Fee schedule exists on Buildium but has never been enforced. BoD must decide: keep, shorten, or eliminate.",BoD,Not Started,,Yes,BoD decision required: enforce current schedule / create shorter version / remove entirely.,"New rules state that fees for most violations cannot be more than $100. At this rate, a fee is not a strong deterent. We will need to rely on other methods.",,,2026-06-26,
13,Building,Elevator 2 Repairs,Star Elevator has been attempting to correct a long running issue with intermittent and now constant operation problems.,HSM,In Progress,7/10/2026,No,,,,Currently waiting on Elevator Consultant to issue report on the problem and Star's performance. Refer to Star Elevator maintenance reports for details. We do not have a good record of the issues and who reported them and when.,2026-06-27,paul@palindrome.com
14,Building,Laundry technical issues,"Multiple issues with change machine, card kiosk, and resident ability to use the laundry machines.",HSM,In Progress,7/3/2026,No,,,,"Dadson will replace the laundry kiosk. Change machine was replaced/repaired already. Issue was declared resolved earlier, but hadn't been.",2026-06-27,paul@palindrome.com
15,Financial,Deliquencies,Unit 1203 is 75 days deliquent,HSM,In Progress,7/9/2026,No,,,,"HSM will send a 10-day notice (please BCC BOD or just Treasurer when sent). After 10-day notice (probably 7/9/2026), BOD can vote to send to collection.",2026-06-27,paul@palindrome.com
16,Documentation,General Historical Documenation and Specific Current Information Requests,"The board requested that all of the documentation given to HSM from PAS and Carole be copied to Google Drive or supplied for scanning to Google Drive. Additionally, all vendor contracts, or descriptions of services provided by each contracted vendor, have been requested.",HSM,In Progress,7/3/2026,No,,,,"Waiting on PrimePay invoices and description of service level, add-ons, and other details. It seems that there are unused features of this service. Still missing most vendor contracts. No information about the progress of historical documentation.",2026-06-27,paul@palindrome.com
